Species,Strain,Medium,Growth rate (h-1),Source,Notes
E. coli,1404,M9 Glucose,0.92,Barthe et al. mBio 2020,
E. coli,1404,M9 Xylose,0.86,Barthe et al. mBio 2020,
E. coli,BL21(DE3),M9 Glucose,0.69,Barthe et al. mBio 2020,
E. coli,BL21(DE3),M9 Xylose,0.21,Barthe et al. mBio 2020,
E. coli,BW25113,M9 Glucose,0.73,Barthe et al. mBio 2020,
E. coli,BW25113,M9 Xylose,0.66,Barthe et al. mBio 2020,
E. coli,BW30270,M9 Glucose,0.89,Barthe et al. mBio 2020,
E. coli,BW30270,M9 Xylose,0.63,Barthe et al. mBio 2020,
E. coli,CA244,M9 Glucose,0.64,Barthe et al. mBio 2020,
E. coli,CA244,M9 Xylose,0.68,Barthe et al. mBio 2020,
E. coli,E22,M9 Glucose,0.75,Barthe et al. mBio 2020,
E. coli,E22,M9 Xylose,0.63,Barthe et al. mBio 2020,
E. coli,E2348/69,M9 Glucose,0.68,Barthe et al. mBio 2020,
E. coli,E2348/69,M9 Xylose,0.58,Barthe et al. mBio 2020,
E. coli,LF82,M9 Glucose,0.91,Barthe et al. mBio 2020,
E. coli,LF82,M9 Xylose,0.87,Barthe et al. mBio 2020,
E. coli,M1/5,M9 Glucose,0.89,Barthe et al. mBio 2020,
E. coli,M1/5,M9 Xylose,0.34,Barthe et al. mBio 2020,
E. coli,MG1655,M9 Glucose,0.62,Barthe et al. mBio 2020,
E. coli,MG1655,M9 Xylose,0.54,Barthe et al. mBio 2020,
E. coli,Nissle 1917,M9 Glucose,0.81,Barthe et al. mBio 2020,
E. coli,Nissle 1917,M9 Xylose,0.64,Barthe et al. mBio 2020,
E. coli,S5Vir,M9 Glucose,0.95,Barthe et al. mBio 2020,
E. coli,S5Vir,M9 Xylose,0.89,Barthe et al. mBio 2020,
E. coli,SE15,M9 Glucose,0.94,Barthe et al. mBio 2020,
E. coli,SE15,M9 Xylose,0.68,Barthe et al. mBio 2020,
E. coli,MG1655,M9 Glucose,0.770,Canonaco et al. FEMS Microbiol Lett 2001,
E. coli,sdh−/mdh−,M9 Glucose,0.495,Fischer and Sauer Eur J Biochem 2003,
E. coli,K-10,M9 Glucose,0.693,Fraenkel J Bacteriol 1968,
E. coli,Zwf−,M9 Glucose,0.630,Fraenkel J Bacteriol 1968,
E. coli,A,MMH1,0.46,Gude et al. Nature 2020,Minimal Medium H1
E. coli,B,MMH1,0.35,Gude et al. Nature 2020,
E. coli,LAB1,MMH1,0.29,Gude et al. Nature 2020,"Engineered: plasmid that conferred growth penalty, increase motility"
E. coli,LAB2,MMH1,0.28,Gude et al. Nature 2020,"Engineered: plasmid that conferred growth penalty, increase motility"
E. coli,LAB3,MMH1,0.33,Gude et al. Nature 2020,"Engineered: plasmid that conferred growth penalty, increase motility"
E. coli,LAB4,MMH1,0.32,Gude et al. Nature 2020,"Engineered: plasmid that conferred growth penalty, increase motility"
E. coli,LAB5,MMH1,0.58,Gude et al. Nature 2020,"Engineered: plasmid that conferred growth penalty, increase motility"
E. coli,MG1655,M9 Acetate,0.210,Liu et al. J Biol Chem 2005,
E. coli,MG1655,M9 Glucose,0.990,Liu et al. J Biol Chem 2005,
E. coli,MG1655,M9 Glycerol,0.533,Liu et al. J Biol Chem 2005,
E. coli,MG1655,M9 Glucose,0.630,Nicolas et al. FEBS Lett 2007,
E. coli,Zwf−,M9 Glucose,0.693,Nicolas et al. FEBS Lett 2007,
E. coli,Zwf−,M9 Glucose,0.578,Nicolas et al. FEBS Lett 2007,
E. coli,MC4100,M9 Acetate,0.301,Oh and Liao Biotechnol Prog 2000,
E. coli,MC4100,M9 Glucose,0.990,Oh and Liao Biotechnol Prog 2000,
E. coli,MC4100,M9 Glycerol,0.693,Oh and Liao Biotechnol Prog 2000,
E. coli,MC4100,M9 Acetate+arginine,0.330,Oh et al. J Biol Chem 2002,
E. coli,K12,M9 Acetate,0.204,Paliy and Gunasekera Appl Micr Biotech 2007,
E. coli,K12,M9 Glycerol,0.315,Paliy and Gunasekera Appl Micr Biotech 2007,
E. coli,K10-1516,M9 Acetate,0.173,Rowley et al. J Bacteriol 1991,
E. coli,Zwf−,M9 Glucose,0.693,Rowley et al. J Bacteriol 1991,
E. coli,DL323,LMR Acetate,0.533,Thakur et al. Appl Micr Biotech 2010,
E. coli,DL323,LMR Glycerol,0.408,Thakur et al. Appl Micr Biotech 2010,
E. coli,DL323,M9 Glycerol,0.365,Thakur et al. Appl Micr Biotech 2010,
E. coli,DL323,SPG Acetate,0.533,Thakur et al. Appl Micr Biotech 2010,
E. coli,DL323,SPG Glycerol,0.433,Thakur et al. Appl Micr Biotech 2010,
E. coli,K10zwf,LMR Acetate,0.301,Thakur et al. Appl Micr Biotech 2010,
E. coli,K10zwf,LMR Glycerol,0.578,Thakur et al. Appl Micr Biotech 2010,
E. coli,K10zwf,M9 Acetate,0.289,Thakur et al. Appl Micr Biotech 2010,
E. coli,K10zwf,M9 Glycerol,0.462,Thakur et al. Appl Micr Biotech 2010,
E. coli,K10zwf,SPG Acetate,0.330,Thakur et al. Appl Micr Biotech 2010,
E. coli,K10zwf,SPG Glycerol,0.433,Thakur et al. Appl Micr Biotech 2010,
E. coli,K12,LMR Acetate,0.693,Thakur et al. Appl Micr Biotech 2010,
E. coli,K12,LMR Glycerol,0.533,Thakur et al. Appl Micr Biotech 2010,
E. coli,K12,M9 Acetate,0.223,Thakur et al. Appl Micr Biotech 2010,
E. coli,K12,M9 Glycerol,0.408,Thakur et al. Appl Micr Biotech 2010,
E. coli,K12,SPG Acetate,0.770,Thakur et al. Appl Micr Biotech 2010,
E. coli,K12,SPG Glycerol,0.495,Thakur et al. Appl Micr Biotech 2010,
E. coli,BW25113,M9 Acetate,0.198,Zhao et al. Metab Eng 2004,
E. coli,K10-1516,M9 Acetate,0.198,Zhao et al. Metab Eng 2004,
Vibrio splendidus,12B01,Minimal Glucose,0.152,Gralka et al. Nat Micr 2023,
Vibrio splendidus,13B01,Minimal Glucose,0.145,Gralka et al. Nat Micr 2023,
Vibrio splendidus,3C02,Minimal Glucose,0.092,Gralka et al. Nat Micr 2023,
Vibrio splendidus,4B04,Minimal Glucose,0.102,Gralka et al. Nat Micr 2023,
Vibrio splendidus,6E02,Minimal Glucose,0.148,Gralka et al. Nat Micr 2023,
Vibrio splendidus,6E03,Minimal Glucose,0.155,Gralka et al. Nat Micr 2023,
Vibrio splendidus,F2R02,Minimal Glucose,0.000,Gralka et al. Nat Micr 2023,
Vibrio splendidus,F2R05,Minimal Glucose,0.129,Gralka et al. Nat Micr 2023,
Vibrio splendidus,G2R10,Minimal Glucose,0.198,Gralka et al. Nat Micr 2023,
Vibrio splendidus,12B01,Minimal Pyruvate,0.104,Gralka et al. Nat Micr 2023,
Vibrio splendidus,13B01,Minimal Pyruvate,0.121,Gralka et al. Nat Micr 2023,
Vibrio splendidus,3C02,Minimal Pyruvate,0.105,Gralka et al. Nat Micr 2023,
Vibrio splendidus,4B04,Minimal Pyruvate,0.116,Gralka et al. Nat Micr 2023,
Vibrio splendidus,6E02,Minimal Pyruvate,0.183,Gralka et al. Nat Micr 2023,
Vibrio splendidus,6E03,Minimal Pyruvate,0.122,Gralka et al. Nat Micr 2023,
Vibrio splendidus,F2R02,Minimal Pyruvate,0.408,Gralka et al. Nat Micr 2023,
Vibrio splendidus,F2R05,Minimal Pyruvate,0.136,Gralka et al. Nat Micr 2023,
Vibrio splendidus,G2R10,Minimal Pyruvate,0.091,Gralka et al. Nat Micr 2023,
