mutation_step,id_1,parent_1,phi_1,r1_1,r2_1,p1_1,p2_1,r1r2_1,r1p1_1,r2r1_1,r2p2_1,id_2,parent_2,phi_2,r1_2,r2_2,p1_2,p2_2,r1r2_2,r1p1_2,r2r1_2,r2p2_2,id_3,parent_3,phi_3,r1_3,r2_3,p1_3,p2_3,r1r2_3,r1p1_3,r2r1_3,r2p2_3,id_4,parent_4,phi_4,r1_4,r2_4,p1_4,p2_4,r1r2_4,r1p1_4,r2r1_4,r2p2_4
0,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,,,,,,,,,,,,,,,,,,,,,,
1,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,2.000,0.000,0.000,0.997,0.990,0.986,0.983,0.003,0.000,0.010,0.000,,,,,,,,,,,
2,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,2.000,0.000,0.000,0.997,0.990,0.986,0.983,0.003,0.000,0.010,0.000,3.000,0.000,0.000,0.965,1.000,0.999,0.977,0.019,0.016,0.000,0.000
3,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,2.000,0.000,0.000,0.997,0.990,0.986,0.983,0.003,0.000,0.010,0.000,3.000,0.000,0.000,0.965,1.000,0.999,0.977,0.019,0.016,0.000,0.000
4,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,4,0,0.005,0.984,1.000,0.993,1.000,0.007,0.008,0.000,0.000,5.000,0.000,0.000,0.988,0.993,0.998,0.974,0.000,0.012,0.000,0.007,,,,,,,,,,,
5,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,4,0,0.005,0.984,1.000,0.993,1.000,0.007,0.008,0.000,0.000,5.000,0.000,0.000,0.988,0.993,0.998,0.974,0.000,0.012,0.000,0.007,6.000,1.000,0.000,0.990,0.960,0.985,1.000,0.010,0.000,0.022,0.017
6,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,4,0,0.005,0.984,1.000,0.993,1.000,0.007,0.008,0.000,0.000,5.000,0.000,0.000,0.988,0.993,0.998,0.974,0.000,0.012,0.000,0.007,6.000,1.000,0.000,0.990,0.960,0.985,1.000,0.010,0.000,0.022,0.017
7,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,4,0,0.005,0.984,1.000,0.993,1.000,0.007,0.008,0.000,0.000,5.000,0.000,0.000,0.988,0.993,0.998,0.974,0.000,0.012,0.000,0.007,6.000,1.000,0.000,0.990,0.960,0.985,1.000,0.010,0.000,0.022,0.017
8,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,4,0,0.005,0.984,1.000,0.993,1.000,0.007,0.008,0.000,0.000,6.000,1.000,0.000,0.990,0.960,0.985,1.000,0.010,0.000,0.022,0.017,7.000,1.000,0.000,0.994,0.991,0.996,0.999,0.002,0.004,0.007,0.002
9,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,4,0,0.005,0.984,1.000,0.993,1.000,0.007,0.008,0.000,0.000,6.000,1.000,0.000,0.990,0.960,0.985,1.000,0.010,0.000,0.022,0.017,7.000,1.000,0.000,0.994,0.991,0.996,0.999,0.002,0.004,0.007,0.002
10,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,4,0,0.005,0.984,1.000,0.993,1.000,0.007,0.008,0.000,0.000,6.000,1.000,0.000,0.990,0.960,0.985,1.000,0.010,0.000,0.022,0.017,7.000,1.000,0.000,0.994,0.991,0.996,0.999,0.002,0.004,0.007,0.002
11,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,6,1,0.000,0.990,0.960,0.985,1.000,0.010,0.000,0.022,0.017,7.000,1.000,0.000,0.994,0.991,0.996,0.999,0.002,0.004,0.007,0.002,10.000,7.000,0.003,0.988,0.974,0.994,0.994,0.000,0.012,0.014,0.012
12,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,6,1,0.000,0.990,0.960,0.985,1.000,0.010,0.000,0.022,0.017,7.000,1.000,0.000,0.994,0.991,0.996,0.999,0.002,0.004,0.007,0.002,10.000,7.000,0.003,0.988,0.974,0.994,0.994,0.000,0.012,0.014,0.012
13,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,6,1,0.000,0.990,0.960,0.985,1.000,0.010,0.000,0.022,0.017,7.000,1.000,0.000,0.994,0.991,0.996,0.999,0.002,0.004,0.007,0.002,10.000,7.000,0.003,0.988,0.974,0.994,0.994,0.000,0.012,0.014,0.012
14,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,6,1,0.000,0.990,0.960,0.985,1.000,0.010,0.000,0.022,0.017,7.000,1.000,0.000,0.994,0.991,0.996,0.999,0.002,0.004,0.007,0.002,10.000,7.000,0.003,0.988,0.974,0.994,0.994,0.000,0.012,0.014,0.012
15,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,6,1,0.000,0.990,0.960,0.985,1.000,0.010,0.000,0.022,0.017,7.000,1.000,0.000,0.994,0.991,0.996,0.999,0.002,0.004,0.007,0.002,10.000,7.000,0.003,0.988,0.974,0.994,0.994,0.000,0.012,0.014,0.012
16,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,6,1,0.000,0.990,0.960,0.985,1.000,0.010,0.000,0.022,0.017,7.000,1.000,0.000,0.994,0.991,0.996,0.999,0.002,0.004,0.007,0.002,13.000,7.000,0.000,0.989,1.000,1.000,1.000,0.010,0.001,0.000,0.000
17,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,6,1,0.000,0.990,0.960,0.985,1.000,0.010,0.000,0.022,0.017,7.000,1.000,0.000,0.994,0.991,0.996,0.999,0.002,0.004,0.007,0.002,13.000,7.000,0.000,0.989,1.000,1.000,1.000,0.010,0.001,0.000,0.000
18,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,6,1,0.000,0.990,0.960,0.985,1.000,0.010,0.000,0.022,0.017,7.000,1.000,0.000,0.994,0.991,0.996,0.999,0.002,0.004,0.007,0.002,13.000,7.000,0.000,0.989,1.000,1.000,1.000,0.010,0.001,0.000,0.000
19,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,6,1,0.000,0.990,0.960,0.985,1.000,0.010,0.000,0.022,0.017,7.000,1.000,0.000,0.994,0.991,0.996,0.999,0.002,0.004,0.007,0.002,13.000,7.000,0.000,0.989,1.000,1.000,1.000,0.010,0.001,0.000,0.000
20,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,7,1,0.000,0.994,0.991,0.996,0.999,0.002,0.004,0.007,0.002,13.000,7.000,0.000,0.989,1.000,1.000,1.000,0.010,0.001,0.000,0.000,20.000,7.000,0.000,0.983,0.988,0.983,0.992,0.003,0.014,0.009,0.003
21,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,7,1,0.000,0.994,0.991,0.996,0.999,0.002,0.004,0.007,0.002,13.000,7.000,0.000,0.989,1.000,1.000,1.000,0.010,0.001,0.000,0.000,20.000,7.000,0.000,0.983,0.988,0.983,0.992,0.003,0.014,0.009,0.003
22,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,7,1,0.000,0.994,0.991,0.996,0.999,0.002,0.004,0.007,0.002,13.000,7.000,0.000,0.989,1.000,1.000,1.000,0.010,0.001,0.000,0.000,20.000,7.000,0.000,0.983,0.988,0.983,0.992,0.003,0.014,0.009,0.003
23,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,7,1,0.000,0.994,0.991,0.996,0.999,0.002,0.004,0.007,0.002,13.000,7.000,0.000,0.989,1.000,1.000,1.000,0.010,0.001,0.000,0.000,20.000,7.000,0.000,0.983,0.988,0.983,0.992,0.003,0.014,0.009,0.003
24,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,7,1,0.000,0.994,0.991,0.996,0.999,0.002,0.004,0.007,0.002,13.000,7.000,0.000,0.989,1.000,1.000,1.000,0.010,0.001,0.000,0.000,20.000,7.000,0.000,0.983,0.988,0.983,0.992,0.003,0.014,0.009,0.003
25,1,0,0.000,0.981,0.977,0.972,1.000,0.016,0.003,0.012,0.011,7,1,0.000,0.994,0.991,0.996,0.999,0.002,0.004,0.007,0.002,13.000,7.000,0.000,0.989,1.000,1.000,1.000,0.010,0.001,0.000,0.000,20.000,7.000,0.000,0.983,0.988,0.983,0.992,0.003,0.014,0.009,0.003
